0:00:05.345002,Fearful
0:00:05.610002,Fearful
0:00:13.315433,Happy
0:00:13.377430,Happy
0:00:17.793433,Sad
0:00:17.858434,Sad
0:00:18.423431,Sad
0:00:18.493432,Sad
0:00:20.249432,Fearful
0:00:20.318430,Fearful
0:00:20.381433,Fearful
0:00:20.452430,Fearful
0:00:20.520431,Fearful
0:00:20.583430,Sad
0:00:20.648430,Happy
0:00:20.713435,Happy
0:00:20.778430,Fearful
0:00:20.840430,Fearful
0:00:20.899432,Happy
0:00:20.971431,Fearful
0:00:21.039432,Fearful
0:00:21.097433,Fearful
0:00:21.164431,Happy
0:00:21.222434,Happy
0:00:21.299431,Fearful
0:00:21.362430,Fearful
0:00:21.424433,Fearful
0:00:21.493431,Fearful
0:00:21.553435,Fearful
0:00:21.618431,Fearful
0:00:21.686431,Fearful
0:00:21.753435,Fearful
0:00:21.816431,Fearful
0:00:21.889431,Fearful
0:00:21.961432,Fearful
0:00:22.028439,Fearful
0:00:22.102432,Fearful
0:00:22.170432,Fearful
0:00:22.239431,Fearful
0:00:22.488431,Happy
0:00:22.550435,Happy
0:00:22.613431,Fearful
0:00:22.772434,Sad
0:00:22.835432,Sad
0:00:23.187432,Happy
0:00:23.251430,Happy
0:00:23.398431,Fearful
0:00:23.458432,Fearful
0:00:23.526430,Angry
0:00:23.586431,Surprised
0:00:23.831432,Fearful
0:00:23.904431,Fearful
0:00:25.083432,Sad
0:00:25.142431,Sad
0:00:25.220430,Fearful
0:00:25.287433,Fearful
0:00:25.352436,Happy
0:00:25.419432,Fearful
0:00:25.489432,Fearful
0:00:25.552436,Fearful
0:00:25.617432,Happy
0:00:25.687431,Happy
0:00:25.755434,Happy
0:00:25.818429,Happy
0:00:25.887432,Happy
0:00:25.954433,Fearful
0:00:26.018434,Fearful
0:00:26.093434,Fearful
0:00:26.158430,Fearful
0:00:26.221431,Fearful
0:00:26.293430,Happy
0:00:26.353438,Fearful
0:00:26.418431,Fearful
0:00:26.477435,Fearful
0:00:26.542432,Fearful
0:00:26.606430,Fearful
0:00:26.663432,Fearful
0:00:26.731429,Happy
0:00:26.790432,Sad
0:00:26.852431,Fearful
0:00:26.918430,Fearful
0:00:26.979445,Fearful
0:00:27.039436,Fearful
0:00:27.103434,Sad
0:00:27.170433,Fearful
0:00:27.233436,Fearful
0:00:27.304432,Fearful
0:00:27.376430,Happy
0:00:27.446430,Sad
0:00:27.506432,Sad
0:00:27.576434,Sad
0:00:27.645434,Happy
0:00:27.712435,Sad
0:00:27.779431,Sad
0:00:27.847432,Happy
0:00:27.912433,Happy
0:00:27.986431,Fearful
0:00:28.059430,Fearful
0:00:28.132431,Fearful
0:00:31.319431,Fearful
0:00:31.381432,Fearful
0:00:31.449431,Fearful
